wave,40_30_30
0.4,0.074241144
0.401,0.074208417
0.402,0.074175722
0.403,0.074143058
0.404,0.074110426
0.405,0.074077825
0.406,0.074045255
0.407,0.074012716
0.408,0.073980208
0.409,0.073947732
0.41,0.073915287
0.411,0.073907485
0.412,0.073899681
0.413,0.073891876
0.414,0.073884069
0.415,0.07387626
0.416,0.07386845
0.417,0.073860639
0.418,0.073852826
0.419,0.073845011
0.42,0.073837195
0.421,0.073806718
0.422,0.073776274
0.423,0.073745862
0.424,0.073715482
0.425,0.073685134
0.426,0.073654819
0.427,0.073624535
0.428,0.073594284
0.429,0.073564065
0.43,0.073533878
0.431,0.073503723
0.432,0.073473601
0.433,0.073443511
0.434,0.073413453
0.435,0.073383427
0.436,0.073353433
0.437,0.073323472
0.438,0.073293543
0.439,0.073263646
0.44,0.073233782
0.441,0.073227898
0.442,0.073222014
0.443,0.073216128
0.444,0.073210242
0.445,0.073204355
0.446,0.073198467
0.447,0.073192578
0.448,0.073186688
0.449,0.073180797
0.45,0.073174906
0.451,0.073146045
0.452,0.073117218
0.453,0.073088423
0.454,0.07305966
0.455,0.073030931
0.456,0.073002234
0.457,0.072973569
0.458,0.072944938
0.459,0.072916339
0.46,0.072887773
0.461,0.072859239
0.462,0.072830738
0.463,0.07280227
0.464,0.072773834
0.465,0.072745432
0.466,0.072717062
0.467,0.072688725
0.468,0.07266042
0.469,0.072632149
0.47,0.07260391
0.471,0.072576689
0.472,0.072549501
0.473,0.072522346
0.474,0.072495224
0.475,0.072468135
0.476,0.072441079
0.477,0.072414057
0.478,0.072387067
0.479,0.072360111
0.48,0.072333188
0.481,0.072328257
0.482,0.072323325
0.483,0.072318392
0.484,0.072313459
0.485,0.072308525
0.486,0.072303591
0.487,0.072298656
0.488,0.07229372
0.489,0.072288784
0.49,0.072283847
0.491,0.072256951
0.492,0.072230088
0.493,0.072203258
0.494,0.072176461
0.495,0.072149697
0.496,0.072122967
0.497,0.072096269
0.498,0.072069605
0.499,0.072042975
0.5,0.072016377
0.501,0.072012422
0.502,0.072008466
0.503,0.07200451
0.504,0.072000554
0.505,0.071996598
0.506,0.07199264
0.507,0.071988683
0.508,0.071984725
0.509,0.071980767
0.51,0.071976808
0.511,0.071950239
0.512,0.071923703
0.513,0.0718972
0.514,0.071870731
0.515,0.071844295
0.516,0.071817893
0.517,0.071791524
0.518,0.071765189
0.519,0.071738887
0.52,0.07171262
0.521,0.071687374
0.522,0.071662163
0.523,0.071636985
0.524,0.071611841
0.525,0.071586731
0.526,0.071561655
0.527,0.071536612
0.528,0.071511603
0.529,0.071486628
0.53,0.071461686
0.531,0.071458713
0.532,0.071455739
0.533,0.071452766
0.534,0.071449793
0.535,0.07144682
0.536,0.071443847
0.537,0.071440874
0.538,0.071437902
0.539,0.07143493
0.54,0.071431958
0.541,0.07140705
0.542,0.071382176
0.543,0.071357336
0.544,0.071332529
0.545,0.071307757
0.546,0.071283019
0.547,0.071258316
0.548,0.071233646
0.549,0.071209011
0.55,0.07118441
0.551,0.071180445
0.552,0.07117648
0.553,0.071172516
0.554,0.071168552
0.555,0.071164589
0.556,0.071160626
