Model: , Shkurtov mixing model of optical constants,,,,,,,
Timestamp: ,9/20/2022 10:14,,,,,,,
,Compound,Molecular Formula,Grainsize (micron),Concentration (%),Measurement Temperature,Wavelength,"Author,Year",DOI
0,Ammonia,NH3,100,100,77-88K,0.4-5.2 micron,"Martonchik, 1984",https://doi.org/10.1364/AO.23.000541
,,,,,,,,
wave,Ammonia,,,,,,,
0.4,0.446021179,,,,,,,
0.401,0.44459257,,,,,,,
0.402,0.443181094,,,,,,,
0.403,0.441786416,,,,,,,
0.404,0.440408213,,,,,,,
0.405,0.43904617,,,,,,,
0.406,0.437699979,,,,,,,
0.407,0.436369341,,,,,,,
0.408,0.435053967,,,,,,,
0.409,0.433753572,,,,,,,
0.41,0.432467882,,,,,,,
0.411,0.431196628,,,,,,,
0.412,0.429939548,,,,,,,
0.413,0.428696387,,,,,,,
0.414,0.427466897,,,,,,,
0.415,0.426250836,,,,,,,
0.416,0.425047968,,,,,,,
0.417,0.423858061,,,,,,,
0.418,0.422680892,,,,,,,
0.419,0.42151624,,,,,,,
0.42,0.420363893,,,,,,,
0.421,0.419223641,,,,,,,
0.422,0.418095281,,,,,,,
0.423,0.416978612,,,,,,,
0.424,0.415873441,,,,,,,
0.425,0.414779578,,,,,,,
0.426,0.413696838,,,,,,,
0.427,0.412625038,,,,,,,
0.428,0.411564002,,,,,,,
0.429,0.410513557,,,,,,,
0.43,0.409473533,,,,,,,
0.431,0.408443765,,,,,,,
0.432,0.40742409,,,,,,,
0.433,0.406674003,,,,,,,
0.434,0.40641321,,,,,,,
0.435,0.406153959,,,,,,,
0.436,0.405896235,,,,,,,
0.437,0.405640026,,,,,,,
0.438,0.405385316,,,,,,,
0.439,0.405132094,,,,,,,
0.44,0.404880345,,,,,,,
0.441,0.404630057,,,,,,,
0.442,0.404381217,,,,,,,
0.443,0.404133812,,,,,,,
0.444,0.40388783,,,,,,,
0.445,0.403643257,,,,,,,
0.446,0.403400082,,,,,,,
0.447,0.403158292,,,,,,,
0.448,0.402917876,,,,,,,
0.449,0.402678822,,,,,,,
0.45,0.402441117,,,,,,,
0.451,0.40220475,,,,,,,
0.452,0.40196971,,,,,,,
0.453,0.401735986,,,,,,,
0.454,0.401503565,,,,,,,
0.455,0.401272438,,,,,,,
0.456,0.401042592,,,,,,,
0.457,0.400814018,,,,,,,
0.458,0.400586704,,,,,,,
0.459,0.400360641,,,,,,,
0.46,0.400135816,,,,,,,
0.461,0.399912221,,,,,,,
0.462,0.399689844,,,,,,,
0.463,0.399468676,,,,,,,
0.464,0.399248707,,,,,,,
0.465,0.399029926,,,,,,,
0.466,0.398812325,,,,,,,
0.467,0.398595892,,,,,,,
0.468,0.39838062,,,,,,,
0.469,0.398166497,,,,,,,
0.47,0.397953515,,,,,,,
0.471,0.397741665,,,,,,,
0.472,0.397530937,,,,,,,
0.473,0.397321322,,,,,,,
0.474,0.397112812,,,,,,,
0.475,0.396905397,,,,,,,
0.476,0.396699068,,,,,,,
0.477,0.396493817,,,,,,,
0.478,0.396289636,,,,,,,
0.479,0.396086515,,,,,,,
0.48,0.395884447,,,,,,,
0.481,0.395683423,,,,,,,
0.482,0.395483435,,,,,,,
0.483,0.395284474,,,,,,,
0.484,0.395086533,,,,,,,
0.485,0.394889603,,,,,,,
0.486,0.394693677,,,,,,,
0.487,0.394498747,,,,,,,
0.488,0.394304805,,,,,,,
0.489,0.394111843,,,,,,,
0.49,0.393919854,,,,,,,
0.491,0.393728831,,,,,,,
0.492,0.393538766,,,,,,,
0.493,0.393349651,,,,,,,
0.494,0.393161479,,,,,,,
0.495,0.392974244,,,,,,,
0.496,0.392787937,,,,,,,
0.497,0.392602553,,,,,,,
0.498,0.392418083,,,,,,,
0.499,0.392234521,,,,,,,
0.5,0.392051861,,,,,,,
0.501,0.391870095,,,,,,,
0.502,0.391689216,,,,,,,
0.503,0.391509219,,,,,,,
0.504,0.391330096,,,,,,,
