wave_nm,QE
400,0.197410354
401,0.204617701
402,0.210276423
403,0.216656302
404,0.222925923
405,0.228529549
406,0.234532646
407,0.241057934
408,0.246585841
409,0.251947407
410,0.258240451
411,0.263352417
412,0.26710293
413,0.270853443
414,0.274372191
415,0.277860553
416,0.281265384
417,0.284476393
418,0.287687402
419,0.291050284
420,0.294512833
421,0.298264605
422,0.303364147
423,0.307938056
424,0.311763458
425,0.31558886
426,0.320318743
427,0.325234857
428,0.329348147
429,0.333284147
430,0.336876844
431,0.340221108
432,0.343565373
433,0.346320469
434,0.348762533
435,0.351204596
436,0.35364666
437,0.35607274
438,0.358497502
439,0.360922264
440,0.363353478
441,0.365811402
442,0.368269326
443,0.370727249
444,0.373100577
445,0.375446035
446,0.377791493
447,0.380097936
448,0.382317527
449,0.384537118
450,0.386756709
451,0.388845556
452,0.390620804
453,0.392396052
454,0.3941713
455,0.395946548
456,0.397491141
457,0.398715792
458,0.399940443
459,0.401165094
460,0.402389744
461,0.403614395
462,0.404058064
463,0.404141883
464,0.404225701
465,0.40430952
466,0.404393338
467,0.404477156
468,0.404263754
469,0.403565037
470,0.402866321
471,0.402167604
472,0.401468887
473,0.400770171
474,0.4000316
475,0.398816235
476,0.397600869
477,0.396385504
478,0.395170138
479,0.393954773
480,0.390059262
481,0.385935506
482,0.381634844
483,0.376269839
484,0.370781039
485,0.365057506
486,0.359452861
487,0.35391804
488,0.348383219
489,0.342827353
490,0.337186857
491,0.331319162
492,0.325154764
493,0.318050834
494,0.311070935
495,0.304411127
496,0.297698652
497,0.290704036
498,0.284573264
499,0.277582266
500,0.269957139
501,0.26307164
502,0.257334242
503,0.251793462
504,0.244988227
505,0.238717528
506,0.233188666
507,0.227301052
508,0.221133069
509,0.214727498
510,0.208223709
511,0.201242297
512,0.19431921
513,0.187441184
514,0.17928534
515,0.172122557
516,0.16523402
517,0.157043696
518,0.149353526
519,0.142499009
520,0.136015172
521,0.130415653
522,0.124860401
523,0.120161846
524,0.11546329
525,0.110575933
526,0.105665262
527,0.101005676
528,0.096640019
529,0.092873329
530,0.089169865
531,0.086973772
532,0.084777678
533,0.082581584
534,0.080387259
535,0.078246463
536,0.076105667
537,0.07396487
538,0.071830717
539,0.069971168
540,0.068111619
541,0.06625207
542,0.064392521
543,0.062642328
544,0.06103014
545,0.059417953
546,0.057805766
547,0.056193578
548,0.054588596
549,0.053001485
550,0.051414375
551,0.049827264
552,0.048240153
553,0.046666294
554,0.04517918
555,0.043692067
556,0.042204954
557,0.04071784
558,0.039230727
559,0.037938211
560,0.036931929
561,0.035925647
562,0.034919365
563,0.033913083
564,0.032906801
565,0.031932726
566,0.031239601
567,0.030546475
568,0.02985335
569,0.029160225
570,0.028467099
571,0.027773974
572,0.027398445
573,0.02710224
574,0.026806034
575,0.026509828
576,0.026213623
577,0.025917417
578,0.025759928
579,0.025743164
580,0.025726399
581,0.025709635
582,0.02569287
583,0.025676106
584,0.025679718
585,0.025769124
586,0.02585853
587,0.025947936
588,0.026037342
589,0.026126748
590,0.026216154
591,0.025730379
592,0.025171438
593,0.024612498
594,0.024053557
595,0.023494617
596,0.022935676
597,0.022455105
598,0.022030334
599,0.021605563
600,0.021180792
601,0.020756022
602,0.020331251
603,0.019981789
604,0.019825313
605,0.019668836
606,0.019512359
607,0.019355882
608,0.019199405
609,0.019042928
610,0.019033807
611,0.019028218
612,0.01902263
613,0.019017042
614,0.019011454
615,0.019005866
616,0.019000278
617,0.01899469
618,0.018989102
619,0.018983514
620,0.018977926
621,0.018972337
622,0.019001664
623,0.01909107
624,0.019180476
625,0.019269883
626,0.019359289
627,0.019448695
628,0.019552131
629,0.019865023
630,0.020177915
631,0.020490807
632,0.020803699
633,0.021116591
634,0.021429482
635,0.021865077
636,0.02233997
637,0.022814863
638,0.023289755
639,0.023764648
640,0.024239541
641,0.024742183
642,0.025278519
643,0.025814855
644,0.02635119
645,0.026887526
646,0.027423862
647,0.027974843
648,0.028611714
649,0.029248586
650,0.029885458
651,0.030522329
652,0.031159201
653,0.031796073
654,0.03249858
655,0.033213641
656,0.033928701
657,0.034643762
658,0.035358822
659,0.036073883
660,0.03674429
661,0.037375576
662,0.038006863
663,0.038638149
664,0.039269436
665,0.039900723
666,0.040521875
667,0.041108479
668,0.041695084
669,0.042281689
670,0.042868294
671,0.043454898
672,0.044041503
673,0.044530394
674,0.045010873
675,0.045491352
676,0.04597183
677,0.046452309
678,0.046932788
679,0.047368612
680,0.047776472
681,0.048184333
682,0.048592194
683,0.049000054
684,0.049407915
685,0.049810592
686,0.050201694
687,0.050592796
688,0.050983898
689,0.051375
690,0.051766102
691,0.052157769
692,0.05269969
693,0.053241611
694,0.053783532
695,0.054325454
696,0.054867375
697,0.055409296
698,0.055748525
699,0.055999963
700,0.0562514
701,0.056502838
702,0.056754275
703,0.057005713
704,0.057182572
705,0.05724404
706,0.057305507
707,0.057366975
708,0.057428442
709,0.057489909
710,0.057510119
711,0.057102119
712,0.056694118
713,0.056286117
714,0.055878117
715,0.055470116
716,0.055062115
717,0.054654115
718,0.054246114
719,0.053838113
720,0.053430113
721,0.053022112
722,0.052614112
723,0.052243751
724,0.051914008
725,0.051584265
726,0.051254522
727,0.050924779
728,0.050595036
729,0.050315837
730,0.050271132
731,0.050226426
732,0.050181721
733,0.050137015
734,0.050092309
735,0.050047604
736,0.050154108
737,0.050282628
738,0.050411147
739,0.050539666
740,0.050668185
741,0.050796704
742,0.050956962
743,0.051141354
744,0.051325747
745,0.05151014
746,0.051694532
