wave_um,wave_nm,DISR
0.4,400,0.4531
0.405,405,0.4531
0.41,410,0.4531
0.415,415,0.4531
0.42,420,0.4531
0.425,425,0.4531
0.43,430,0.4531
0.435,435,0.4531
0.44,440,0.4531
0.445,445,0.4531
0.45,450,0.4531
0.455,455,0.4531
0.46,460,0.4531
0.465,465,0.4531
0.47,470,0.4531
0.475,475,0.4531
0.48,480,0.427471704
0.485,485,0.417358135
0.49,490,0.457267563
0.495,495,0.531995723
0.5,500,0.560842263
0.505,505,0.594170022
0.51,510,0.634888239
0.515,515,0.677088971
0.52,520,0.72688608
0.525,525,0.816985425
0.53,530,0.878163576
0.535,535,0.869110042
0.54,540,0.688434332
0.545,545,0.764777334
0.55,550,1.109875215
0.555,555,1.188511179
0.56,560,1.232358153
0.565,565,1.287363491
0.57,570,1.273571274
0.575,575,1.237101889
0.58,580,1.41550037
0.585,585,1.581994486
0.59,590,1.57271856
0.595,595,1.543390013
0.6,600,1.621847552
0.605,605,1.719514294
0.61,610,1.307963776
0.615,615,0.529278016
0.62,620,0.409864433
0.625,625,1.354394783
0.63,630,1.956813048
0.635,635,2.021162236
0.64,640,2.011142989
0.645,645,2.009078968
0.65,650,1.907819457
0.655,655,1.663821841
0.66,660,1.517816763
0.665,665,1.280598633
0.67,670,1.634993264
0.675,675,2.195562863
0.68,680,2.070806226
0.685,685,2.046101794
0.69,690,2.203383015
0.695,695,1.884054049
0.7,700,1.081180378
0.705,705,1.149329977
0.71,710,1.711933852
0.715,715,1.139447301
0.72,720,0.15585702
0.725,725,0.013069058
0.73,730,0.025958849
0.735,735,0.410118367
0.74,740,1.573354875
0.745,745,2.328096812
0.75,750,2.427298474
0.755,755,2.374991642
0.76,760,2.015195116
0.765,765,1.634161577
0.77,770,1.480798437
0.775,775,1.046492572
0.78,780,0.471374216
0.785,785,0.276989701
0.79,790,0.323864988
0.795,795,0.14745302
0.8,800,0.147349494
0.805,805,0.450337851
0.81,810,1.077097864
0.815,815,1.984635858
0.82,820,2.468253564
0.825,825,2.687439281
0.83,830,2.655432399
0.835,835,1.584685311
0.84,840,0.47096459
0.845,845,0.775738171
0.85,850,0.953513102
0.855,855,0.297131842
0.86,860,0.035250458
0.865,865,0.016895336
0.87,870,0.041788403
0.875,875,0.06276893
0.88,880,0.022860917
0.885,885,0.010776587
0.89,890,0.01389401
0.895,895,0.015768749
0.9,900,0.017507726
0.905,905,0.056281789
0.91,910,0.148073538
0.915,915,0.32299516
0.92,920,0.900554526
0.925,925,1.572226639
0.93,930,2.096380126
0.935,935,2.384485947
0.94,940,2.179121407
0.945,945,1.519459897
0.95,950,1.179921642
0.955,955,0.906917295
0.96,960,0.319566794
0.965,965,0.100954392
0.97,970,0.100490026
0.975,975,0.106372726
0.98,980,0.1087
0.985,985,0.1087
0.99,990,0.1087
0.995,995,0.1087
1,1000,0.1087
1.005,1005,0.1087
1.01,1010,0.1087
1.015,1015,0.1087
1.02,1020,0.1087
1.025,1025,0.1087
1.03,1030,0.1087
1.035,1035,0.1087
1.04,1040,0.1087
1.045,1045,0.1087
1.05,1050,0.1087
1.055,1055,0.1087
1.06,1060,0.1087
1.065,1065,0.1087
1.07,1070,0.1087
1.075,1075,0.1087
1.08,1080,0.1087
1.085,1085,0.1087
1.09,1090,0.1087
1.095,1095,0.1087
