wave_nm,QE
400,0.019529086
401,0.019968588
402,0.020464335
403,0.020960081
404,0.021455828
405,0.021951574
406,0.022447321
407,0.022943067
408,0.023438814
409,0.02393456
410,0.024430307
411,0.024926054
412,0.0254218
413,0.025917547
414,0.026413293
415,0.02690904
416,0.027404786
417,0.027900533
418,0.028367318
419,0.02874868
420,0.029130042
421,0.029511404
422,0.029892766
423,0.030274128
424,0.030655489
425,0.031036851
426,0.031418213
427,0.031799575
428,0.032180937
429,0.032562299
430,0.03294366
431,0.033325022
432,0.033706384
433,0.034087746
434,0.034469108
435,0.03485047
436,0.035231831
437,0.035613193
438,0.035994555
439,0.036375917
440,0.036757279
441,0.037604278
442,0.039631026
443,0.041657773
444,0.043684521
445,0.045711269
446,0.047738016
447,0.049764764
448,0.051791512
449,0.053818259
450,0.055845007
451,0.056957081
452,0.057911276
453,0.05886547
454,0.059819664
455,0.060773858
456,0.061728053
457,0.062682247
458,0.063636441
459,0.064590635
460,0.06554483
461,0.067825844
462,0.07036385
463,0.072901857
464,0.075439863
465,0.077977869
466,0.080515875
467,0.083053882
468,0.085591888
469,0.088129894
470,0.091003993
471,0.096576562
472,0.10214913
473,0.107721699
474,0.113294267
475,0.118866835
476,0.124439404
477,0.130218954
478,0.136432991
479,0.142647028
480,0.148861065
481,0.155075103
482,0.16128914
483,0.167503177
484,0.173717214
485,0.179963102
486,0.186739132
487,0.193515161
488,0.200291191
489,0.20706722
490,0.21384325
491,0.220619279
492,0.227395309
493,0.234171338
494,0.240947368
495,0.247723397
496,0.254499427
497,0.261514503
498,0.269264981
499,0.277015459
500,0.284765938
501,0.292516416
502,0.300266895
503,0.308017373
504,0.315969305
505,0.325014608
506,0.334059911
507,0.343105213
508,0.352150516
509,0.361195819
510,0.370241122
511,0.376824376
512,0.383274436
513,0.389724497
514,0.396174557
515,0.402624618
516,0.409074678
517,0.415422101
518,0.421222879
519,0.427023658
520,0.432332021
521,0.435747675
522,0.43916333
523,0.442578985
524,0.445994639
525,0.449410294
526,0.452825948
527,0.456241603
528,0.459657257
529,0.463072912
530,0.465927895
531,0.466246045
532,0.466564194
533,0.466882344
534,0.467200494
535,0.467518644
536,0.467836794
537,0.468154944
538,0.468473094
539,0.468791244
540,0.468753705
541,0.466962524
542,0.465171343
543,0.463380162
544,0.461588981
545,0.4597978
546,0.458006619
547,0.456215437
548,0.454424256
549,0.452633075
550,0.450562624
551,0.447080141
552,0.443597658
553,0.440115175
554,0.436632692
555,0.433150209
556,0.429667727
557,0.426185244
558,0.422702761
559,0.419220278
560,0.415737795
561,0.410400687
562,0.404797933
563,0.399195179
564,0.393592425
565,0.387756241
566,0.381655193
567,0.375554145
568,0.369453097
569,0.363352049
570,0.357176293
571,0.350978151
572,0.344780008
573,0.338581866
574,0.332366299
575,0.326141675
576,0.319917051
577,0.313692427
578,0.307467803
579,0.301243179
580,0.295068039
581,0.289094416
582,0.283120792
583,0.277147169
584,0.271173546
585,0.265199922
586,0.259226299
587,0.253252676
588,0.247279052
589,0.241305429
590,0.234035219
591,0.226438038
592,0.218840857
593,0.211243676
594,0.203389363
595,0.195142925
596,0.186896487
597,0.178650049
598,0.171453562
599,0.165012649
600,0.158571735
601,0.152130822
602,0.145689909
603,0.139248996
604,0.132808082
605,0.126367169
606,0.119908803
607,0.113419329
608,0.106929856
609,0.100440382
610,0.094880537
611,0.092132955
612,0.089385373
613,0.086637791
614,0.083890209
615,0.081142628
616,0.078395046
617,0.075647464
618,0.072899882
619,0.070152301
620,0.067838539
621,0.066833535
622,0.065828531
623,0.064823527
624,0.063818524
625,0.06281352
626,0.061808516
627,0.060803512
628,0.059798509
629,0.058793505
630,0.057788501
631,0.057396724
632,0.057038703
633,0.056680683
634,0.056322662
635,0.055964642
636,0.055606621
637,0.055248601
638,0.05489058
639,0.05453256
640,0.05417454
641,0.054152446
642,0.054152446
643,0.054152446
644,0.054152446
645,0.054152446
646,0.054152446
647,0.054152446
648,0.054152446
649,0.054152446
650,0.054152446
651,0.054457415
652,0.054786311
653,0.055115208
654,0.055444105
655,0.055773002
656,0.056101898
657,0.056430795
658,0.056759692
659,0.057088588
660,0.057417485
661,0.057776834
662,0.059076429
663,0.060376024
664,0.061675619
665,0.062975214
666,0.064274809
667,0.065574404
668,0.066873999
669,0.06836666
670,0.070185695
671,0.07200473
672,0.073823766
673,0.075642801
674,0.077461836
675,0.079280871
676,0.081099906
677,0.082918941
678,0.084737977
679,0.086557012
680,0.088376047
681,0.090195082
682,0.092014117
683,0.093833152
684,0.095668607
685,0.097823052
686,0.099977496
687,0.102131941
688,0.104286386
689,0.10644083
690,0.108595275
691,0.11074972
692,0.112904165
693,0.115058609
694,0.117213054
695,0.119404826
696,0.121817229
697,0.124229632
698,0.126642035
699,0.129037008
700,0.130498075
701,0.131959142
702,0.133420209
703,0.134881276
704,0.136342343
705,0.13780341
706,0.139264477
707,0.140725544
708,0.14218661
709,0.143647677
710,0.144951419
711,0.145070735
712,0.145190052
713,0.145309368
714,0.145428684
715,0.145548
716,0.145667316
717,0.145786632
718,0.145905949
719,0.146025265
720,0.14608571
721,0.145648115
722,0.14521052
723,0.144772925
724,0.144335329
725,0.143897734
726,0.143460139
727,0.143022544
728,0.142584949
729,0.142147354
730,0.141836616
731,0.142713472
732,0.143590328
733,0.144467184
734,0.145344039
735,0.146220895
736,0.147097751
737,0.147974606
738,0.148851462
739,0.149728318
740,0.150605173
741,0.151546339
742,0.152747792
743,0.153949245
744,0.155150698
745,0.156352151
746,0.157553604
747,0.158755057
748,0.159956509
749,0.161157962
750,0.162359415
751,0.163560868
752,0.164762321
753,0.165963774
754,0.167165227
755,0.16836668
756,0.169568133
