wave_nm,QE
400,0.051247541
401,0.049841802
402,0.048436063
403,0.047030324
404,0.045624585
405,0.044218847
406,0.042859885
407,0.04156274
408,0.040265596
409,0.038968451
410,0.037671307
411,0.036374162
412,0.035074395
413,0.033757022
414,0.032439648
415,0.031122274
416,0.029804901
417,0.028487527
418,0.027170154
419,0.026171014
420,0.025299314
421,0.024427615
422,0.023555915
423,0.022684216
424,0.021812517
425,0.021031878
426,0.020333161
427,0.019634445
428,0.018935728
429,0.018237011
430,0.017538295
431,0.016783277
432,0.015832922
433,0.014882567
434,0.013932212
435,0.012981857
436,0.012031501
437,0.011081146
438,0.010445189
439,0.009835931
440,0.009226673
441,0.008617415
442,0.008008157
443,0.007398899
444,0.007055992
445,0.006877159
446,0.006698327
447,0.006519495
448,0.006340662
449,0.00616183
450,0.006028732
451,0.005995203
452,0.005961674
453,0.005928145
454,0.005894616
455,0.005861087
456,0.005828595
457,0.00589565
458,0.005962705
459,0.00602976
460,0.006096816
461,0.006163871
462,0.006230926
463,0.006290096
464,0.006345975
465,0.006401855
466,0.006457735
467,0.006513614
468,0.006569494
469,0.00660297
470,0.00660297
471,0.00660297
472,0.00660297
473,0.00660297
474,0.00660297
475,0.006601354
476,0.00658459
477,0.006567825
478,0.006551061
479,0.006534297
480,0.006517532
481,0.006500768
482,0.006364513
483,0.006196859
484,0.006029204
485,0.00586155
486,0.005693895
487,0.005526241
488,0.005410384
489,0.005348914
490,0.005287443
491,0.005225972
492,0.005164502
493,0.005103031
494,0.005060013
495,0.005099129
496,0.005138245
497,0.005177361
498,0.005216477
499,0.005255593
500,0.005294709
501,0.005589151
502,0.005918803
503,0.006248454
504,0.006578106
505,0.006907757
506,0.007237409
507,0.007663155
508,0.008160391
509,0.008657627
510,0.009154863
511,0.009652099
512,0.010149335
513,0.010689909
514,0.01134912
515,0.012008332
516,0.012667544
517,0.013326756
518,0.013985968
519,0.01464518
520,0.015288285
521,0.015930742
522,0.016573199
523,0.017215656
524,0.017858112
525,0.018500569
526,0.018905191
527,0.019184563
528,0.019463934
529,0.019743306
530,0.020022678
531,0.020302049
532,0.020376193
533,0.020068808
534,0.019761423
535,0.019454038
536,0.019146654
537,0.018839269
538,0.018531627
539,0.018218653
540,0.017905678
541,0.017592704
542,0.01727973
543,0.016966755
544,0.016653781
545,0.016448685
546,0.01628103
547,0.016113376
548,0.015945721
549,0.015778067
550,0.015610412
551,0.015663157
552,0.015998395
553,0.016333633
554,0.016668871
555,0.01700411
556,0.017339348
557,0.017737654
558,0.018547651
559,0.019357648
560,0.020167645
561,0.020977642
562,0.02178764
563,0.022597637
564,0.023834602
565,0.025161408
566,0.026488214
567,0.02781502
568,0.029141826
569,0.031885714
570,0.037413299
571,0.043997956
572,0.057189941
573,0.069891088
574,0.083849823
575,0.098026097
576,0.111125961
577,0.123991565
578,0.138105714
579,0.151979125
580,0.163268407
581,0.186830012
582,0.212896149
583,0.235414068
584,0.261234118
585,0.284518009
586,0.307126483
587,0.328972725
588,0.353595468
589,0.377468178
590,0.399154171
591,0.414684021
592,0.422035037
593,0.428056878
594,0.43519412
595,0.442783041
596,0.449804609
597,0.455874503
598,0.463041552
599,0.469108431
600,0.471503307
601,0.473898183
602,0.476293059
603,0.477232927
604,0.477428494
605,0.477624061
606,0.477819628
607,0.478015195
608,0.478210762
609,0.478019711
610,0.477130873
611,0.476242034
612,0.475353196
613,0.474464357
614,0.473575518
615,0.472655858
616,0.471199931
617,0.469744005
618,0.468288078
619,0.466832151
620,0.465376224
621,0.463504098
622,0.461369061
623,0.459234025
624,0.457098989
625,0.454948045
626,0.452763011
627,0.450577977
628,0.448392943
629,0.446232027
630,0.445070019
631,0.443908011
632,0.442746002
633,0.441583994
634,0.440421986
635,0.439477325
636,0.438689143
637,0.437900961
638,0.437112779
639,0.436324597
640,0.435536415
641,0.434760712
642,0.434017264
643,0.433273815
644,0.432530367
645,0.431786918
646,0.43104347
647,0.430300021
648,0.428955306
649,0.427596064
650,0.426236823
651,0.424877581
652,0.422923078
653,0.420052703
654,0.417182327
655,0.414268706
656,0.411316993
657,0.408365279
658,0.40605528
659,0.404062014
660,0.402068749
661,0.400075484
662,0.398184139
663,0.397345629
664,0.39650712
665,0.395668611
