wave_um,QE
0.4,0.197410354
0.401,0.204617701
0.402,0.210276423
0.403,0.216656302
0.404,0.222925923
0.405,0.228529549
0.406,0.234532646
0.407,0.241057934
0.408,0.246585841
0.409,0.251947407
0.41,0.258240451
0.411,0.263352417
0.412,0.26710293
0.413,0.270853443
0.414,0.274372191
0.415,0.277860553
0.416,0.281265384
0.417,0.284476393
0.418,0.287687402
0.419,0.291050284
0.42,0.294512833
0.421,0.298264605
0.422,0.303364147
0.423,0.307938056
0.424,0.311763458
0.425,0.31558886
0.426,0.320318743
0.427,0.325234857
0.428,0.329348147
0.429,0.333284147
0.43,0.336876844
0.431,0.340221108
0.432,0.343565373
0.433,0.346320469
0.434,0.348762533
0.435,0.351204596
0.436,0.35364666
0.437,0.35607274
0.438,0.358497502
0.439,0.360922264
0.44,0.363353478
0.441,0.365811402
0.442,0.368269326
0.443,0.370727249
0.444,0.373100577
0.445,0.375446035
0.446,0.377791493
0.447,0.380097936
0.448,0.382317527
0.449,0.384537118
0.45,0.386756709
0.451,0.388845556
0.452,0.390620804
0.453,0.392396052
0.454,0.3941713
0.455,0.395946548
0.456,0.397491141
0.457,0.398715792
0.458,0.399940443
0.459,0.401165094
0.46,0.402389744
0.461,0.403614395
0.462,0.404058064
0.463,0.404141883
0.464,0.404225701
0.465,0.40430952
0.466,0.404393338
0.467,0.404477156
0.468,0.404263754
0.469,0.403565037
0.47,0.402866321
0.471,0.402167604
0.472,0.401468887
0.473,0.400770171
0.474,0.4000316
0.475,0.398816235
0.476,0.397600869
0.477,0.396385504
0.478,0.395170138
0.479,0.393954773
0.48,0.390059262
0.481,0.385935506
0.482,0.381634844
0.483,0.376269839
0.484,0.370781039
0.485,0.365057506
0.486,0.359452861
0.487,0.35391804
0.488,0.348383219
0.489,0.342827353
0.49,0.337186857
0.491,0.331319162
0.492,0.325154764
0.493,0.318050834
0.494,0.311070935
0.495,0.304411127
0.496,0.297698652
0.497,0.290704036
0.498,0.284573264
0.499,0.277582266
0.5,0.269957139
0.501,0.26307164
0.502,0.257334242
0.503,0.251793462
0.504,0.244988227
0.505,0.238717528
0.506,0.233188666
0.507,0.227301052
0.508,0.221133069
0.509,0.214727498
0.51,0.208223709
0.511,0.201242297
0.512,0.19431921
0.513,0.187441184
0.514,0.17928534
0.515,0.172122557
0.516,0.16523402
0.517,0.157043696
0.518,0.149353526
0.519,0.142499009
0.52,0.136015172
0.521,0.130415653
0.522,0.124860401
0.523,0.120161846
0.524,0.11546329
0.525,0.110575933
0.526,0.105665262
0.527,0.101005676
0.528,0.096640019
0.529,0.092873329
0.53,0.089169865
0.531,0.086973772
0.532,0.084777678
0.533,0.082581584
0.534,0.080387259
0.535,0.078246463
0.536,0.076105667
0.537,0.07396487
0.538,0.071830717
0.539,0.069971168
0.54,0.068111619
0.541,0.06625207
0.542,0.064392521
0.543,0.062642328
0.544,0.06103014
0.545,0.059417953
0.546,0.057805766
0.547,0.056193578
0.548,0.054588596
0.549,0.053001485
0.55,0.051414375
0.551,0.049827264
0.552,0.048240153
0.553,0.046666294
0.554,0.04517918
0.555,0.043692067
0.556,0.042204954
0.557,0.04071784
0.558,0.039230727
0.559,0.037938211
0.56,0.036931929
0.561,0.035925647
0.562,0.034919365
0.563,0.033913083
0.564,0.032906801
0.565,0.031932726
0.566,0.031239601
0.567,0.030546475
0.568,0.02985335
0.569,0.029160225
0.57,0.028467099
0.571,0.027773974
0.572,0.027398445
0.573,0.02710224
0.574,0.026806034
0.575,0.026509828
0.576,0.026213623
0.577,0.025917417
0.578,0.025759928
0.579,0.025743164
0.58,0.025726399
0.581,0.025709635
0.582,0.02569287
0.583,0.025676106
0.584,0.025679718
0.585,0.025769124
0.586,0.02585853
0.587,0.025947936
0.588,0.026037342
0.589,0.026126748
0.59,0.026216154
0.591,0.025730379
0.592,0.025171438
0.593,0.024612498
0.594,0.024053557
0.595,0.023494617
0.596,0.022935676
0.597,0.022455105
0.598,0.022030334
0.599,0.021605563
0.6,0.021180792
0.601,0.020756022
0.602,0.020331251
0.603,0.019981789
0.604,0.019825313
0.605,0.019668836
0.606,0.019512359
0.607,0.019355882
0.608,0.019199405
0.609,0.019042928
0.61,0.019033807
0.611,0.019028218
0.612,0.01902263
0.613,0.019017042
0.614,0.019011454
0.615,0.019005866
0.616,0.019000278
0.617,0.01899469
0.618,0.018989102
0.619,0.018983514
0.62,0.018977926
0.621,0.018972337
0.622,0.019001664
0.623,0.01909107
0.624,0.019180476
0.625,0.019269883
0.626,0.019359289
0.627,0.019448695
0.628,0.019552131
0.629,0.019865023
0.63,0.020177915
0.631,0.020490807
0.632,0.020803699
0.633,0.021116591
0.634,0.021429482
0.635,0.021865077
0.636,0.02233997
0.637,0.022814863
0.638,0.023289755
0.639,0.023764648
0.64,0.024239541
0.641,0.024742183
0.642,0.025278519
0.643,0.025814855
0.644,0.02635119
0.645,0.026887526
0.646,0.027423862
0.647,0.027974843
0.648,0.028611714
0.649,0.029248586
0.65,0.029885458
0.651,0.030522329
0.652,0.031159201
0.653,0.031796073
0.654,0.03249858
0.655,0.033213641
0.656,0.033928701
0.657,0.034643762
0.658,0.035358822
0.659,0.036073883
0.66,0.03674429
0.661,0.037375576
0.662,0.038006863
0.663,0.038638149
0.664,0.039269436
0.665,0.039900723
0.666,0.040521875
0.667,0.041108479
0.668,0.041695084
0.669,0.042281689
0.67,0.042868294
0.671,0.043454898
0.672,0.044041503
0.673,0.044530394
0.674,0.045010873
0.675,0.045491352
0.676,0.04597183
0.677,0.046452309
0.678,0.046932788
0.679,0.047368612
0.68,0.047776472
0.681,0.048184333
0.682,0.048592194
0.683,0.049000054
0.684,0.049407915
0.685,0.049810592
0.686,0.050201694
0.687,0.050592796
0.688,0.050983898
0.689,0.051375
0.69,0.051766102
0.691,0.052157769
0.692,0.05269969
0.693,0.053241611
0.694,0.053783532
0.695,0.054325454
0.696,0.054867375
0.697,0.055409296
0.698,0.055748525
0.699,0.055999963
0.7,0.0562514
0.701,0.056502838
0.702,0.056754275
0.703,0.057005713
0.704,0.057182572
0.705,0.05724404
0.706,0.057305507
0.707,0.057366975
