wave_um,QE
0.4,0.019529086
0.401,0.019968588
0.402,0.020464335
0.403,0.020960081
0.404,0.021455828
0.405,0.021951574
0.406,0.022447321
0.407,0.022943067
0.408,0.023438814
0.409,0.02393456
0.41,0.024430307
0.411,0.024926054
0.412,0.0254218
0.413,0.025917547
0.414,0.026413293
0.415,0.02690904
0.416,0.027404786
0.417,0.027900533
0.418,0.028367318
0.419,0.02874868
0.42,0.029130042
0.421,0.029511404
0.422,0.029892766
0.423,0.030274128
0.424,0.030655489
0.425,0.031036851
0.426,0.031418213
0.427,0.031799575
0.428,0.032180937
0.429,0.032562299
0.43,0.03294366
0.431,0.033325022
0.432,0.033706384
0.433,0.034087746
0.434,0.034469108
0.435,0.03485047
0.436,0.035231831
0.437,0.035613193
0.438,0.035994555
0.439,0.036375917
0.44,0.036757279
0.441,0.037604278
0.442,0.039631026
0.443,0.041657773
0.444,0.043684521
0.445,0.045711269
0.446,0.047738016
0.447,0.049764764
0.448,0.051791512
0.449,0.053818259
0.45,0.055845007
0.451,0.056957081
0.452,0.057911276
0.453,0.05886547
0.454,0.059819664
0.455,0.060773858
0.456,0.061728053
0.457,0.062682247
0.458,0.063636441
0.459,0.064590635
0.46,0.06554483
0.461,0.067825844
0.462,0.07036385
0.463,0.072901857
0.464,0.075439863
0.465,0.077977869
0.466,0.080515875
0.467,0.083053882
0.468,0.085591888
0.469,0.088129894
0.47,0.091003993
0.471,0.096576562
0.472,0.10214913
0.473,0.107721699
0.474,0.113294267
0.475,0.118866835
0.476,0.124439404
0.477,0.130218954
0.478,0.136432991
0.479,0.142647028
0.48,0.148861065
0.481,0.155075103
0.482,0.16128914
0.483,0.167503177
0.484,0.173717214
0.485,0.179963102
0.486,0.186739132
0.487,0.193515161
0.488,0.200291191
0.489,0.20706722
0.49,0.21384325
0.491,0.220619279
0.492,0.227395309
0.493,0.234171338
0.494,0.240947368
0.495,0.247723397
0.496,0.254499427
0.497,0.261514503
0.498,0.269264981
0.499,0.277015459
0.5,0.284765938
0.501,0.292516416
0.502,0.300266895
0.503,0.308017373
0.504,0.315969305
0.505,0.325014608
0.506,0.334059911
0.507,0.343105213
0.508,0.352150516
0.509,0.361195819
0.51,0.370241122
0.511,0.376824376
0.512,0.383274436
0.513,0.389724497
0.514,0.396174557
0.515,0.402624618
0.516,0.409074678
0.517,0.415422101
0.518,0.421222879
0.519,0.427023658
0.52,0.432332021
0.521,0.435747675
0.522,0.43916333
0.523,0.442578985
0.524,0.445994639
0.525,0.449410294
0.526,0.452825948
0.527,0.456241603
0.528,0.459657257
0.529,0.463072912
0.53,0.465927895
0.531,0.466246045
0.532,0.466564194
0.533,0.466882344
0.534,0.467200494
0.535,0.467518644
0.536,0.467836794
0.537,0.468154944
0.538,0.468473094
0.539,0.468791244
0.54,0.468753705
0.541,0.466962524
0.542,0.465171343
0.543,0.463380162
0.544,0.461588981
0.545,0.4597978
0.546,0.458006619
0.547,0.456215437
0.548,0.454424256
0.549,0.452633075
0.55,0.450562624
0.551,0.447080141
0.552,0.443597658
0.553,0.440115175
0.554,0.436632692
0.555,0.433150209
0.556,0.429667727
0.557,0.426185244
0.558,0.422702761
0.559,0.419220278
0.56,0.415737795
0.561,0.410400687
0.562,0.404797933
0.563,0.399195179
0.564,0.393592425
0.565,0.387756241
0.566,0.381655193
0.567,0.375554145
0.568,0.369453097
0.569,0.363352049
0.57,0.357176293
0.571,0.350978151
0.572,0.344780008
0.573,0.338581866
0.574,0.332366299
0.575,0.326141675
0.576,0.319917051
0.577,0.313692427
0.578,0.307467803
0.579,0.301243179
0.58,0.295068039
0.581,0.289094416
0.582,0.283120792
0.583,0.277147169
0.584,0.271173546
0.585,0.265199922
0.586,0.259226299
0.587,0.253252676
0.588,0.247279052
0.589,0.241305429
0.59,0.234035219
0.591,0.226438038
0.592,0.218840857
0.593,0.211243676
0.594,0.203389363
0.595,0.195142925
0.596,0.186896487
0.597,0.178650049
0.598,0.171453562
0.599,0.165012649
0.6,0.158571735
0.601,0.152130822
0.602,0.145689909
0.603,0.139248996
0.604,0.132808082
0.605,0.126367169
0.606,0.119908803
0.607,0.113419329
0.608,0.106929856
0.609,0.100440382
0.61,0.094880537
0.611,0.092132955
0.612,0.089385373
0.613,0.086637791
0.614,0.083890209
0.615,0.081142628
0.616,0.078395046
0.617,0.075647464
0.618,0.072899882
0.619,0.070152301
0.62,0.067838539
0.621,0.066833535
0.622,0.065828531
0.623,0.064823527
0.624,0.063818524
0.625,0.06281352
0.626,0.061808516
0.627,0.060803512
0.628,0.059798509
0.629,0.058793505
0.63,0.057788501
0.631,0.057396724
0.632,0.057038703
0.633,0.056680683
0.634,0.056322662
0.635,0.055964642
0.636,0.055606621
0.637,0.055248601
0.638,0.05489058
0.639,0.05453256
0.64,0.05417454
0.641,0.054152446
0.642,0.054152446
0.643,0.054152446
0.644,0.054152446
0.645,0.054152446
0.646,0.054152446
0.647,0.054152446
0.648,0.054152446
0.649,0.054152446
0.65,0.054152446
0.651,0.054457415
0.652,0.054786311
0.653,0.055115208
0.654,0.055444105
0.655,0.055773002
0.656,0.056101898
0.657,0.056430795
0.658,0.056759692
0.659,0.057088588
0.66,0.057417485
0.661,0.057776834
0.662,0.059076429
0.663,0.060376024
0.664,0.061675619
0.665,0.062975214
0.666,0.064274809
0.667,0.065574404
0.668,0.066873999
0.669,0.06836666
0.67,0.070185695
0.671,0.07200473
0.672,0.073823766
0.673,0.075642801
0.674,0.077461836
0.675,0.079280871
0.676,0.081099906
0.677,0.082918941
0.678,0.084737977
0.679,0.086557012
0.68,0.088376047
0.681,0.090195082
0.682,0.092014117
0.683,0.093833152
0.684,0.095668607
0.685,0.097823052
0.686,0.099977496
0.687,0.102131941
0.688,0.104286386
0.689,0.10644083
0.69,0.108595275
0.691,0.11074972
0.692,0.112904165
0.693,0.115058609
0.694,0.117213054
0.695,0.119404826
0.696,0.121817229
0.697,0.124229632
0.698,0.126642035
0.699,0.129037008
0.7,0.130498075
0.701,0.131959142
0.702,0.133420209
0.703,0.134881276
0.704,0.136342343
0.705,0.13780341
0.706,0.139264477
0.707,0.140725544
0.708,0.14218661
0.709,0.143647677
0.71,0.144951419
0.711,0.145070735
0.712,0.145190052
0.713,0.145309368
0.714,0.145428684
0.715,0.145548
0.716,0.145667316
0.717,0.145786632
0.718,0.145905949
0.719,0.146025265
0.72,0.14608571
0.721,0.145648115
0.722,0.14521052
0.723,0.144772925
0.724,0.144335329
0.725,0.143897734
0.726,0.143460139
0.727,0.143022544
0.728,0.142584949
0.729,0.142147354
0.73,0.141836616
0.731,0.142713472
0.732,0.143590328
0.733,0.144467184
0.734,0.145344039
0.735,0.146220895
0.736,0.147097751
0.737,0.147974606
0.738,0.148851462
0.739,0.149728318
0.74,0.150605173
0.741,0.151546339
0.742,0.152747792
0.743,0.153949245
0.744,0.155150698
0.745,0.156352151
0.746,0.157553604
0.747,0.158755057
0.748,0.159956509
0.749,0.161157962
0.75,0.162359415
0.751,0.163560868
0.752,0.164762321
0.753,0.165963774
0.754,0.167165227
0.755,0.16836668
0.756,0.169568133
0.757,0.170769586
0.758,0.171971039
0.759,0.173172492
0.76,0.173966268
0.761,0.1745296
0.762,0.175092932
0.763,0.175656265
0.764,0.176219597
0.765,0.176782929
0.766,0.177346262
0.767,0.177909594
0.768,0.178472926
0.769,0.179036258
0.77,0.179574844
0.771,0.179458925
0.772,0.179343007
0.773,0.179227088
0.774,0.179111169
0.775,0.178995251
0.776,0.178879332
0.777,0.178763414
0.778,0.178647495
0.779,0.178531576
0.78,0.178415658
0.781,0.179111543
0.782,0.180105479
0.783,0.181099415
0.784,0.18209335
0.785,0.183087286
0.786,0.184081222
0.787,0.185075158
0.788,0.186069093
0.789,0.187063029
0.79,0.188056965
0.791,0.189338239
0.792,0.190733361
0.793,0.192128483
0.794,0.193523605
0.795,0.194918727
0.796,0.196313849
0.797,0.197708971
0.798,0.199104093
0.799,0.200499215
0.8,0.201464312
0.801,0.202122014
0.802,0.202779717
0.803,0.203437419
0.804,0.204095121
0.805,0.204752824
0.806,0.205410526
0.807,0.206068229
0.808,0.206725931
0.809,0.207383633
0.81,0.208041336
0.811,0.20836041
0.812,0.208524316
0.813,0.208688222
0.814,0.208852128
0.815,0.209016034
0.816,0.20917994
0.817,0.209343846
0.818,0.209507752
0.819,0.209671658
0.82,0.209835564
0.821,0.20924525
0.822,0.208630401
0.823,0.208015552
0.824,0.207400703
0.825,0.206785854
0.826,0.206171005
0.827,0.205556156
0.828,0.204941307
0.829,0.204326458
0.83,0.203788627
0.831,0.203476513
0.832,0.203164399
0.833,0.202852284
0.834,0.20254017
0.835,0.202228055
0.836,0.201915941
0.837,0.201603827
0.838,0.201291712
0.839,0.200979598
0.84,0.200667484
0.841,0.200355369
0.842,0.200140281
0.843,0.199953739
0.844,0.199767198
0.845,0.199580657
0.846,0.199394116
0.847,0.199207574
0.848,0.199021033
0.849,0.198834492
0.85,0.198238294
0.851,0.196304841
0.852,0.194371387
0.853,0.192437933
0.854,0.190504479
0.855,0.188571025
0.856,0.186637571
0.857,0.184704117
0.858,0.182770663
0.859,0.180837209
0.86,0.178903755
0.861,0.176975797
0.862,0.175048207
0.863,0.173120617
0.864,0.171193027
0.865,0.169265436
0.866,0.167337846
0.867,0.165410256
0.868,0.163482666
0.869,0.161555075
0.87,0.159897437
0.871,0.1591504
0.872,0.158403363
0.873,0.157656326
0.874,0.156909289
0.875,0.156162252
0.876,0.155415215
0.877,0.154668177
0.878,0.15392114
0.879,0.153174103
0.88,0.152427066
0.881,0.151680029
0.882,0.150932992
0.883,0.150185955
0.884,0.149438918
0.885,0.14869188
0.886,0.147944843
0.887,0.147197806
0.888,0.146450769
0.889,0.145703732
0.89,0.144783422
0.891,0.143694775
0.892,0.142606127
0.893,0.141517479
0.894,0.140428832
0.895,0.139191677
0.896,0.137415433
0.897,0.13563919
0.898,0.133862947
0.899,0.132086703
0.9,0.130343193
0.901,0.129098526
0.902,0.12785386
0.903,0.126609193
0.904,0.125364526
0.905,0.124119859
0.906,0.122875355
0.907,0.121634151
0.908,0.120392947
0.909,0.119151743
0.91,0.117910539
0.911,0.116669335
0.912,0.115428132
0.913,0.114103516
0.914,0.112750428
0.915,0.11139734
0.916,0.110044253
0.917,0.108691165
0.918,0.107338077
0.919,0.106019809
0.92,0.104745041
0.921,0.103470273
0.922,0.102195505
0.923,0.100920738
0.924,0.09964597
0.925,0.098384039
0.926,0.097198773
0.927,0.096013507
0.928,0.094828241
0.929,0.093642975
0.93,0.092457709
0.931,0.091272443
0.932,0.090124857
0.933,0.08898434
0.934,0.087843823
0.935,0.086703305
0.936,0.085562788
0.937,0.08442227
0.938,0.083526603
0.939,0.082839069
0.94,0.082151535
0.941,0.081464001
0.942,0.080776468
0.943,0.080088934
0.944,0.079442618
0.945,0.078928403
0.946,0.078414187
0.947,0.077899971
0.948,0.077385756
0.949,0.07687154
0.95,0.076357325
0.951,0.075435471
0.952,0.074485116
0.953,0.07353476
0.954,0.072584405
0.955,0.07163405
0.956,0.070683695
0.957,0.069605958
0.958,0.068454254
0.959,0.067302549
0.96,0.066150845
0.961,0.064999141
0.962,0.063847436
0.963,0.06264942
0.964,0.06135787
0.965,0.06006632
0.966,0.05877477
0.967,0.057483219
0.968,0.056191669
0.969,0.054906507
0.97,0.053827516
0.971,0.052748525
0.972,0.051669534
0.973,0.050590543
0.974,0.049511552
0.975,0.048432561
0.976,0.047488
0.977,0.046593569
0.978,0.045699138
0.979,0.044804707
0.98,0.043910276
0.981,0.043015845
0.982,0.042211981
0.983,0.041530039
0.984,0.040848096
0.985,0.040166153
0.986,0.039484211
0.987,0.038802268
0.988,0.038132064
0.989,0.037545169
0.99,0.036958275
0.991,0.036371381
0.992,0.035784486
0.993,0.035197592
0.994,0.034610697
0.995,0.034042153
0.996,0.033477621
0.997,0.03291309
0.998,0.032348559
0.999,0.031784028
1,0.031219497
1.001,0.030637606
1.002,0.03003953
1.003,0.029441454
1.004,0.028843378
1.005,0.028245302
1.006,0.027647226
1.007,0.02704795
1.008,0.026444283
1.009,0.025840616
1.01,0.025236949
1.011,0.024633282
1.012,0.024029615
1.013,0.023425948
1.014,0.022908922
1.015,0.022400297
1.016,0.021891672
1.017,0.021383047
1.018,0.020874422
1.019,0.020365797
1.02,0.019911592
1.021,0.019492411
1.022,0.019073231
1.023,0.01865405
1.024,0.018234869
1.025,0.017815688
1.026,0.017411853
1.027,0.017042981
1.028,0.01667411
1.029,0.016305239
1.03,0.015936368
1.031,0.015567496
1.032,0.015198658
1.033,0.014852146
1.034,0.014505634
1.035,0.014159121
1.036,0.013812609
1.037,0.013466097
1.038,0.013119585
1.039,0.012769172
1.04,0.01241707
1.041,0.012064968
1.042,0.011712867
1.043,0.011360765
1.044,0.011008663
1.045,0.010658765
1.046,0.010312253
1.047,0.00996574
1.048,0.009619228
1.049,0.009272716
