wave_nm,Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9
400,9.17E-05,9.36E-05,4.09E-14,4.34E-68,1.10E-99,6.67E-111,2.41E-77,1.51E-97,1.92E-68
401,6.01E-05,0.000117145,6.30E-14,2.23E-67,8.06E-99,3.85E-110,6.36E-77,4.51E-97,3.43E-68
402,3.88E-05,0.000145905,9.66E-14,1.14E-66,5.85E-98,2.21E-109,1.67E-76,1.34E-96,6.10E-68
403,2.48E-05,0.000180906,1.48E-13,5.73E-66,4.21E-97,1.26E-108,4.40E-76,3.99E-96,1.08E-67
404,1.56E-05,0.000223289,2.25E-13,2.87E-65,3.01E-96,7.13E-108,1.15E-75,1.18E-95,1.92E-67
405,9.64E-06,0.000274357,3.42E-13,1.42E-64,2.13E-95,4.01E-107,3.00E-75,3.49E-95,3.41E-67
406,5.90E-06,0.000335582,5.17E-13,7.00E-64,1.49E-94,2.25E-106,7.82E-75,1.03E-94,6.03E-67
407,3.55E-06,0.000408616,7.80E-13,3.41E-63,1.04E-93,1.25E-105,2.03E-74,3.02E-94,1.07E-66
408,2.11E-06,0.000495298,1.17E-12,1.65E-62,7.14E-93,6.91E-105,5.26E-74,8.85E-94,1.89E-66
409,1.24E-06,0.000597657,1.75E-12,7.89E-62,4.87E-92,3.79E-104,1.36E-73,2.59E-93,3.33E-66
410,7.17E-07,0.000717913,2.62E-12,3.74E-61,3.30E-91,2.07E-103,3.50E-73,7.53E-93,5.87E-66
411,4.09E-07,0.00085847,3.89E-12,1.76E-60,2.21E-90,1.12E-102,8.99E-73,2.19E-92,1.03E-65
412,2.30E-07,0.00102191,5.77E-12,8.20E-60,1.47E-89,6.06E-102,2.30E-72,6.34E-92,1.82E-65
413,1.28E-07,0.001210972,8.52E-12,3.79E-59,9.69E-89,3.25E-101,5.88E-72,1.83E-91,3.20E-65
414,6.98E-08,0.001428532,1.25E-11,1.74E-58,6.33E-88,1.73E-100,1.50E-71,5.28E-91,5.61E-65
415,3.77E-08,0.001677567,1.84E-11,7.88E-58,4.09E-87,9.16E-100,3.81E-71,1.52E-90,9.83E-65
416,2.00E-08,0.001961118,2.69E-11,3.54E-57,2.63E-86,4.82E-99,9.65E-71,4.35E-90,1.72E-64
417,1.05E-08,0.002282242,3.92E-11,1.58E-56,1.67E-85,2.52E-98,2.44E-70,1.24E-89,3.01E-64
418,5.45E-09,0.002643953,5.68E-11,6.99E-56,1.05E-84,1.31E-97,6.14E-70,3.54E-89,5.27E-64
419,2.78E-09,0.003049158,8.22E-11,3.06E-55,6.58E-84,6.77E-97,1.54E-69,1.01E-88,9.19E-64
420,1.40E-09,0.003500581,1.18E-10,1.33E-54,4.07E-83,3.47E-96,3.87E-69,2.85E-88,1.60E-63
421,6.95E-10,0.004000686,1.70E-10,5.72E-54,2.50E-82,1.77E-95,9.67E-69,8.07E-88,2.79E-63
422,3.40E-10,0.004551588,2.44E-10,2.44E-53,1.52E-81,8.99E-95,2.41E-68,2.27E-87,4.86E-63
423,1.64E-10,0.005154962,3.48E-10,1.03E-52,9.17E-81,4.53E-94,5.99E-68,6.40E-87,8.44E-63
424,7.83E-11,0.005811953,4.94E-10,4.32E-52,5.48E-80,2.27E-93,1.48E-67,1.79E-86,1.47E-62
425,3.68E-11,0.006523082,7.00E-10,1.80E-51,3.25E-79,1.13E-92,3.67E-67,5.01E-86,2.54E-62
426,1.70E-11,0.007288155,9.88E-10,7.39E-51,1.91E-78,5.59E-92,9.05E-67,1.40E-85,4.40E-62
427,7.79E-12,0.008106185,1.39E-09,3.02E-50,1.11E-77,2.75E-91,2.22E-66,3.89E-85,7.62E-62
428,3.51E-12,0.008975311,1.95E-09,1.22E-49,6.39E-77,1.34E-90,5.45E-66,1.08E-84,1.32E-61
429,1.56E-12,0.009892739,2.72E-09,4.89E-49,3.66E-76,6.52E-90,1.33E-65,2.98E-84,2.27E-61
430,6.84E-13,0.010854697,3.79E-09,1.94E-48,2.07E-75,3.15E-89,3.25E-65,8.23E-84,3.92E-61
431,2.95E-13,0.011856403,5.26E-09,7.65E-48,1.16E-74,1.51E-88,7.91E-65,2.26E-83,6.76E-61
432,1.26E-13,0.012892059,7.27E-09,2.99E-47,6.48E-74,7.20E-88,1.92E-64,6.21E-83,1.16E-60
433,5.30E-14,0.013954868,1.00E-08,1.16E-46,3.57E-73,3.41E-87,4.64E-64,1.70E-82,2.00E-60
434,2.20E-14,0.015037071,1.38E-08,4.43E-46,1.95E-72,1.61E-86,1.12E-63,4.63E-82,3.43E-60
435,8.98E-15,0.016130018,1.88E-08,1.69E-45,1.06E-71,7.52E-86,2.69E-63,1.26E-81,5.89E-60
436,3.62E-15,0.017224259,2.57E-08,6.35E-45,5.69E-71,3.50E-85,6.45E-63,3.42E-81,1.01E-59
437,1.44E-15,0.018309662,3.49E-08,2.37E-44,3.03E-70,1.62E-84,1.54E-62,9.25E-81,1.73E-59
438,5.65E-16,0.019375558,4.73E-08,8.77E-44,1.60E-69,7.43E-84,3.68E-62,2.50E-80,2.95E-59
439,2.19E-16,0.020410901,6.38E-08,3.22E-43,8.37E-69,3.39E-83,8.76E-62,6.72E-80,5.04E-59
440,8.34E-17,0.021404458,8.58E-08,1.17E-42,4.34E-68,1.54E-82,2.08E-61,1.80E-79,8.60E-59
441,3.14E-17,0.022345001,1.15E-07,4.22E-42,2.23E-67,6.95E-82,4.92E-61,4.83E-79,1.47E-58
442,1.17E-17,0.023221519,1.54E-07,1.51E-41,1.14E-66,3.11E-81,1.16E-60,1.29E-78,2.49E-58
443,4.27E-18,0.024023426,2.04E-07,5.33E-41,5.73E-66,1.39E-80,2.73E-60,3.43E-78,4.24E-58
444,1.54E-18,0.024740779,2.71E-07,1.87E-40,2.87E-65,6.15E-80,6.41E-60,9.10E-78,7.20E-58
445,5.48E-19,0.025364474,3.58E-07,6.51E-40,1.42E-64,2.70E-79,1.50E-59,2.41E-77,1.22E-57
446,1.92E-19,0.025886448,4.72E-07,2.25E-39,7.00E-64,1.18E-78,3.50E-59,6.36E-77,2.07E-57
447,6.66E-20,0.026299843,6.20E-07,7.67E-39,3.41E-63,5.14E-78,8.15E-59,1.67E-76,3.51E-57
448,2.28E-20,0.02659916,8.11E-07,2.60E-38,1.65E-62,2.22E-77,1.89E-58,4.40E-76,5.93E-57
449,7.67E-21,0.026780383,1.06E-06,8.72E-38,7.89E-62,9.54E-77,4.38E-58,1.15E-75,1.00E-56
450,2.55E-21,0.026841065,1.37E-06,2.90E-37,3.74E-61,4.07E-76,1.01E-57,3.00E-75,1.69E-56
451,8.34E-22,0.026780383,1.78E-06,9.57E-37,1.76E-60,1.73E-75,2.33E-57,7.82E-75,2.85E-56
452,2.70E-22,0.02659916,2.29E-06,3.13E-36,8.20E-60,7.28E-75,5.34E-57,2.03E-74,4.79E-56
453,8.59E-23,0.026299843,2.95E-06,1.01E-35,3.79E-59,3.05E-74,1.22E-56,5.26E-74,8.06E-56
454,2.70E-23,0.025886448,3.78E-06,3.26E-35,1.74E-58,1.27E-73,2.79E-56,1.36E-73,1.35E-55
455,8.36E-24,0.025364474,4.82E-06,1.04E-34,7.88E-58,5.25E-73,6.36E-56,3.50E-73,2.27E-55
456,2.56E-24,0.024740779,6.13E-06,3.27E-34,3.54E-57,2.16E-72,1.44E-55,8.99E-73,3.81E-55
457,7.71E-25,0.024023426,7.78E-06,1.02E-33,1.58E-56,8.83E-72,3.27E-55,2.30E-72,6.37E-55
458,2.29E-25,0.023221519,9.83E-06,3.17E-33,6.99E-56,3.59E-71,7.38E-55,5.88E-72,1.07E-54
459,6.72E-26,0.022345001,1.24E-05,9.74E-33,3.06E-55,1.45E-70,1.66E-54,1.50E-71,1.78E-54
460,1.94E-26,0.021404458,1.55E-05,2.96E-32,1.33E-54,5.81E-70,3.73E-54,3.81E-71,2.97E-54
461,5.54E-27,0.020410901,1.94E-05,8.95E-32,5.72E-54,2.32E-69,8.36E-54,9.65E-71,4.95E-54
