wave,wave_nm,100_0_0,0_100_0,0_0_100,40_20_40,20_50_30
0.4,400,0.290339201,0.027752169,0.999682844,0.240489404,0.127078517
0.401,401,0.290787766,0.027831622,0.999681233,0.240637499,0.127151096
0.402,402,0.291235348,0.02751744,0.999679639,0.240593946,0.126922663
0.403,403,0.291681951,0.027151828,0.99967806,0.240553258,0.12667638
0.404,404,0.292127579,0.026744899,0.999676496,0.240436608,0.126356491
0.405,405,0.292572235,0.026406293,0.999674947,0.240406378,0.126129484
0.406,406,0.293015923,0.025983486,0.999673413,0.240321045,0.125827726
0.407,407,0.293458646,0.025599041,0.999671894,0.240242534,0.125546685
0.408,408,0.293900409,0.025278737,0.999670388,0.240219134,0.125333022
0.409,409,0.294341214,0.024876667,0.999668897,0.24015327,0.125055162
0.41,410,0.294781065,0.024582526,0.999667419,0.240120469,0.124845408
0.411,411,0.295219967,0.024308282,0.999664906,0.240108967,0.124659793
0.412,412,0.295657922,0.024058256,0.999662423,0.240110203,0.124493668
0.413,413,0.296094933,0.023827738,0.999659971,0.240121721,0.124343299
0.414,414,0.296531005,0.023628471,0.999657547,0.240151683,0.124219476
0.415,415,0.296966141,0.023447734,0.999655152,0.240186057,0.124106593
0.416,416,0.297400345,0.023257439,0.999652784,0.240229737,0.123997116
0.417,417,0.297833619,0.023110175,0.999650443,0.240283478,0.123912565
0.418,418,0.298265967,0.022929207,0.999648129,0.240313069,0.123796745
0.419,419,0.298697393,0.02281958,0.99964584,0.240383806,0.123740392
0.42,420,0.299127901,0.022694574,0.999643577,0.240453984,0.123677703
0.421,421,0.299557492,0.022571083,0.99963837,0.240527277,0.123618075
0.422,422,0.299986172,0.022432366,0.999633261,0.24057793,0.123535699
0.423,423,0.300413942,0.022347213,0.999628245,0.240672545,0.123507723
0.424,424,0.300840807,0.022227528,0.999623319,0.240750127,0.123453455
0.425,425,0.30126677,0.022115962,0.999618479,0.240813148,0.123391812
0.426,426,0.301691834,0.022007865,0.999613721,0.240893533,0.123344689
0.427,427,0.302116003,0.021915993,0.999609043,0.240964985,0.123297631
0.428,428,0.302539279,0.021826841,0.999604441,0.241055766,0.123266231
0.429,429,0.302961666,0.021735867,0.999599912,0.241130752,0.123222578
0.43,430,0.303383167,0.021677374,0.999595455,0.241228017,0.123208678
0.431,431,0.303803785,0.021591214,0.999585654,0.241312361,0.123174304
0.432,432,0.304223524,0.021520679,0.999576123,0.241396722,0.123146409
0.433,433,0.304642386,0.021452293,0.999566844,0.241499966,0.123133558
0.434,434,0.305060376,0.021402431,0.999557799,0.241586583,0.123116026
0.435,435,0.305477495,0.021357241,0.999548976,0.241728923,0.123141777
0.436,436,0.305893748,0.021262663,0.999540361,0.241806573,0.123100038
0.437,437,0.306309137,0.021193004,0.999531942,0.241898741,0.12307923
0.438,438,0.306723665,0.021131825,0.999523709,0.241987782,0.12305971
0.439,439,0.307137336,0.02107406,0.999515652,0.242092647,0.12305343
0.44,440,0.307550152,0.021011343,0.999507762,0.242185909,0.123036781
0.441,441,0.307962117,0.020954065,0.999496804,0.242283384,0.123025537
0.442,442,0.308373233,0.02089512,0.999486127,0.242386828,0.123018202
0.443,443,0.308783505,0.020838479,0.999475714,0.242472091,0.122998586
0.444,444,0.309192933,0.020791765,0.999465548,0.242574808,0.122996
0.445,445,0.309601523,0.020748914,0.999455617,0.242681988,0.12299843
0.446,446,0.310009276,0.020699814,0.999445906,0.24278911,0.122998475
0.447,447,0.310416195,0.020654004,0.999436404,0.242906119,0.123007282
0.448,448,0.310822285,0.020605176,0.9994271,0.242993712,0.122993432
0.449,449,0.311227546,0.020574393,0.999417985,0.243112939,0.123010261
0.45,450,0.311631983,0.020521405,0.99940905,0.243204809,0.122998228
0.451,451,0.312035599,0.020483854,0.999396869,0.243313976,0.123005283
0.452,452,0.312438395,0.020447124,0.999384982,0.243435362,0.123021793
0.453,453,0.312840376,0.020405122,0.99937337,0.243538093,0.123022665
0.454,454,0.313241544,0.020367961,0.999362019,0.243632826,0.123019801
0.455,455,0.313641901,0.020329167,0.999350914,0.243741078,0.123026348
0.456,456,0.314041451,0.020296535,0.999340043,0.243861193,0.123044225
0.457,457,0.314440197,0.020260303,0.999329393,0.24396679,0.123050185
0.458,458,0.314838141,0.020227007,0.999318956,0.244071292,0.123056695
0.459,459,0.315235286,0.02019907,0.999308719,0.244205741,0.123087415
