wave_um,QE
0.4,0.051247541
0.401,0.049841802
0.402,0.048436063
0.403,0.047030324
0.404,0.045624585
0.405,0.044218847
0.406,0.042859885
0.407,0.04156274
0.408,0.040265596
0.409,0.038968451
0.41,0.037671307
0.411,0.036374162
0.412,0.035074395
0.413,0.033757022
0.414,0.032439648
0.415,0.031122274
0.416,0.029804901
0.417,0.028487527
0.418,0.027170154
0.419,0.026171014
0.42,0.025299314
0.421,0.024427615
0.422,0.023555915
0.423,0.022684216
0.424,0.021812517
0.425,0.021031878
0.426,0.020333161
0.427,0.019634445
0.428,0.018935728
0.429,0.018237011
0.43,0.017538295
0.431,0.016783277
0.432,0.015832922
0.433,0.014882567
0.434,0.013932212
0.435,0.012981857
0.436,0.012031501
0.437,0.011081146
0.438,0.010445189
0.439,0.009835931
0.44,0.009226673
0.441,0.008617415
0.442,0.008008157
0.443,0.007398899
0.444,0.007055992
0.445,0.006877159
0.446,0.006698327
0.447,0.006519495
0.448,0.006340662
0.449,0.00616183
0.45,0.006028732
0.451,0.005995203
0.452,0.005961674
0.453,0.005928145
0.454,0.005894616
0.455,0.005861087
0.456,0.005828595
0.457,0.00589565
0.458,0.005962705
0.459,0.00602976
0.46,0.006096816
0.461,0.006163871
0.462,0.006230926
0.463,0.006290096
0.464,0.006345975
0.465,0.006401855
0.466,0.006457735
0.467,0.006513614
0.468,0.006569494
0.469,0.00660297
0.47,0.00660297
0.471,0.00660297
0.472,0.00660297
0.473,0.00660297
0.474,0.00660297
0.475,0.006601354
0.476,0.00658459
0.477,0.006567825
0.478,0.006551061
0.479,0.006534297
0.48,0.006517532
0.481,0.006500768
0.482,0.006364513
0.483,0.006196859
0.484,0.006029204
0.485,0.00586155
0.486,0.005693895
0.487,0.005526241
0.488,0.005410384
0.489,0.005348914
0.49,0.005287443
0.491,0.005225972
0.492,0.005164502
0.493,0.005103031
0.494,0.005060013
0.495,0.005099129
0.496,0.005138245
0.497,0.005177361
0.498,0.005216477
0.499,0.005255593
0.5,0.005294709
0.501,0.005589151
0.502,0.005918803
0.503,0.006248454
0.504,0.006578106
0.505,0.006907757
0.506,0.007237409
0.507,0.007663155
0.508,0.008160391
0.509,0.008657627
0.51,0.009154863
0.511,0.009652099
0.512,0.010149335
0.513,0.010689909
0.514,0.01134912
0.515,0.012008332
0.516,0.012667544
0.517,0.013326756
0.518,0.013985968
0.519,0.01464518
0.52,0.015288285
0.521,0.015930742
0.522,0.016573199
0.523,0.017215656
0.524,0.017858112
0.525,0.018500569
0.526,0.018905191
0.527,0.019184563
0.528,0.019463934
0.529,0.019743306
0.53,0.020022678
0.531,0.020302049
0.532,0.020376193
0.533,0.020068808
0.534,0.019761423
0.535,0.019454038
0.536,0.019146654
0.537,0.018839269
0.538,0.018531627
0.539,0.018218653
0.54,0.017905678
0.541,0.017592704
0.542,0.01727973
0.543,0.016966755
0.544,0.016653781
0.545,0.016448685
0.546,0.01628103
0.547,0.016113376
0.548,0.015945721
0.549,0.015778067
0.55,0.015610412
0.551,0.015663157
0.552,0.015998395
0.553,0.016333633
0.554,0.016668871
0.555,0.01700411
0.556,0.017339348
0.557,0.017737654
0.558,0.018547651
0.559,0.019357648
0.56,0.020167645
0.561,0.020977642
0.562,0.02178764
0.563,0.022597637
0.564,0.023834602
0.565,0.025161408
0.566,0.026488214
0.567,0.02781502
0.568,0.029141826
0.569,0.031885714
0.57,0.037413299
0.571,0.043997956
0.572,0.057189941
0.573,0.069891088
0.574,0.083849823
0.575,0.098026097
0.576,0.111125961
0.577,0.123991565
0.578,0.138105714
0.579,0.151979125
0.58,0.163268407
0.581,0.186830012
0.582,0.212896149
0.583,0.235414068
0.584,0.261234118
0.585,0.284518009
0.586,0.307126483
0.587,0.328972725
0.588,0.353595468
